,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
43,52704.6178679554,0.0015014652955025818,0.22273838417119984,-4.319269112012125e-05,1.0994406294502708,0.25631139954341386,0.8287737170776894,-0.12275820159848948,0.5078731870148717,0.2003231783873905,0.0,0.0,0.0010780070154523262,6786.737768789966,1537.1724145160824,0,6958.642725005316
44,52704.10766613034,0.0014809607304981623,0.23187147786918688,-4.610754287425039e-05,1.0994356955614923,0.25806385403226473,0.827681934411615,-0.125493859425683,0.5072041417366239,0.20478736622810334,0.0,0.0,0.0010780070154523262,6772.44050500364,1599.0971942967665,0,6958.668136261546
45,52703.589965429164,0.0014602307210111866,0.2413659743137913,-4.914387495918133e-05,1.0994306890447703,0.25945477531726824,0.8265661055924555,-0.12822587135409658,0.5065203609568139,0.2092456045027409,0.0,0.0,0.0010780070154523262,6756.978172803807,1663.33129641828,0,6958.694204331125
46,52703.06501172916,0.001439293723537596,0.2512415601158245,-5.2303433019505964e-05,1.0994256122731525,0.26046447400614303,0.8254262630377255,-0.13095415801220534,0.5058218645409197,0.21369776368874663,0.0,0.0,0.0010780070154523262,6740.248467677612,1729.9848653531885,0,6958.720934222143
47,52702.53305433739,0.001418169030052363,0.2615190020949652,-5.5587904220588936e-05,1.0994204676530026,0.2610721805068563,0.8242624398625953,-0.13367864013671285,0.5051086727819443,0.21814371444017638,0.0,0.0,0.0010780070154523262,6722.139457838464,1799.1718770734967,0,6958.748330977416
48,52701.994345871615,0.001396876818558486,0.27222019908662237,-5.899891644358664e-05,1.0994152576228602,0.26125599322098303,0.8230746698789304,-0.13639923857485334,0.5043808063998257,0.22258332759145585,0.0,0.0,0.0010780070154523262,6702.528676424282,1871.0099738682238,0,6958.776399670003
49,52701.44914213929,0.0013754382076307675,0.2833682322742707,-6.25380375084947e-05,1.0994099846522827,0.2609928282115966,0.8218629875943088,-0.13911587428669162,0.5036382865408346,0.22701647416113327,0.0,0.0,0.0010780070154523262,6681.282140224795,1945.6202132838584,0,6958.8051453985645
50,52700.89770201548,0.001353875315120566,0.29498741285576635,-6.620677442560327e-05,1.0994046512406739,0.2602583715371806,0.8206274282110185,-0.141828468347419,0.5028811347769605,0.2314430253556268,0.0,0.0,0.0010780070154523262,6658.253293689721,2023.1267126371868,0,6958.834573282812
51,52700.34028731911,0.001332211321150002,0.3071033255525007,-7.000657267573022e-05,1.0993992599160987,0.2590270357427035,0.8193680276250344,-0.1445369419496468,0.5021093731052855,0.23586285257296596,0.0,0.0,0.0010780070154523262,6633.281878651886,2103.6561673970136,0,6958.864688458813
52,52699.77716268749,0.0013104705356283741,0.3197428661521979,-7.393881551827584e-05,1.0993938132340766,0.25727192231705337,0.8180848224249735,-0.1472412164057001,0.5013230239473428,0.24027582740653566,0.0,0.0,0.0010780070154523262,6606.192732429865,2187.3372184598466,0,6958.895496073269
53,52699.20859545068,0.001288678469507868,0.3329342705898747,-7.80048233340559e-05,1.099388313776381,0.25496479261231336,0.816777849891039,-0.1499412131498897,0.5005221101484705,0.24468182164878371,0.0,0.0,0.0010780070154523262,6576.794520667822,2274.2996377083023,0,6958.9270012816205
54,52698.63485550306,0.0012668619112264018,0.3467071333001839,-8.220585298988501e-05,1.0993827641498,0.2520760494916484,0.8154471479939299,-0.15263685374080932,0.4997066549771428,0.24908070729496876,0.0,0.0,0.0010780070154523262,6544.878413810127,2364.6733018147324,0,6958.9592092405
55,52698.05621517455,0.0012450490065764915,0.3610924109570499,-8.654309723870601e-05,1.099377166984905,0.24857473358991003,0.8140927553937402,-0.15532805986360929,0.4988766821242955,0.25347235654687106,0.0,0.0,0.0010780070154523262,6510.21672365729,2458.586912897086,0,6958.992125103741
56,52697.47294910057,0.0012232693423541822,0.3761224078869412,-9.101768414876222e-05,1.0993715249347995,0.2444285379006029,0.8127147114388361,-0.1580147533322717,0.4980322157026386,0.25785664181650575,0.0,0.0,0.0010780070154523262,6472.561521507722,2556.1664256023946,0,6959.025754017533
57,52696.88533409117,0.001201554032833933,0.39183073855239703,-9.563067656446915e-05,1.0993658406738598,0.2396038452925989,0.8113130561647149,-0.1606968560918777,0.4971732802459567,0.2622334357298215,0.0,0.0,0.0010780070154523262,6431.643268125124,2657.5331347971737,0,6959.0601011174
58,52696.29364899799,0.0011799358091147594,0.40825226056770797,-0.00010038307159421942,1.0993601168964575,0.23406579549469655,0.8098878302928352,-0.1633742902208887,0.4962999007083914,0.2666026111304244,0.0,0.0,0.0010780070154523262,6387.169499295448,2762.801367002784,0,6959.095171517812
59,52695.69817458195,0.0011584491082457645,0.4254229734771877,-0.00010527580013556791,1.0993543563156885,0.22777838631760364,0.8084390752294397,-0.16604697793339648,0.4954121024637209,0.27096404108324873,0.0,0.0,0.0010780070154523262,6338.823616859816,2872.075733037236,0,6959.130970312395
60,52695.09919337896,0.0011371301623554467,0.4433798742433541,-0.00011030972642772264,1.0993485616620775,0.22070461816599973,0.8069668330643519,-0.16871484158138783,0.49450991130462235,0.2753175988782531,0.0,0.0,0.0010780070154523262,6286.263859093443,2985.447876390371,0,6959.167502567255
61,52694.49698956504,0.0011160170847198984,0.4621607617303722,-0.00011548564763681402,1.0993427356822816,0.21280668955534404,0.8054711465697514,-0.17137780365700006,0.49359335344192073,0.27966315803410086,0.0,0.0,0.0010780070154523262,6229.122536874274,3102.9926679817445,0,6959.204773315947
62,52693.8918488419,0.0010951499847299717,0.48180397945691744,-0.00012080429235171498,1.0993368811379913,0.20404625435973414,0.8039520592101513,-0.17403578679720091,0.49266245551070437,0.28400059230579766,0.0,0.0,0.0010780070154523262,6167.005649057373,3224.763789440382,0,6959.242787343423
63,52693.2840582263,0.0010745709207357834,0.5023480885610664,-0.00012626632410046046,1.0993310008038866,0.19438474884630857,0.8024096151023934,-0.17668871377771372,0.49171724454580856,0.2883297756747769,0.0,0.0,0.0010780070154523262,6099.493004965155,3350.788679264799,0,6959.281549894931
